databaseID,parentShelfLevelID,levelPosition,maxProductBoxes
1,1,1,1
2,1,2,1
3,1,3,1
4,1,4,1
5,2,1,4
6,2,2,4
7,2,3,4
8,2,4,4
9,2,5,4
10,2,6,4
11,2,7,4
12,2,8,4
13,2,9,4
14,2,10,4
15,2,11,4
16,2,12,4
17,2,13,4
18,2,14,4
19,2,15,4
20,2,16,4
21,2,17,4
22,2,18,4
23,2,19,4
24,2,20,4
25,3,1,4
26,3,2,4
27,3,3,4
28,3,4,4
29,3,5,4
30,3,6,4
31,3,7,4
32,3,8,4
33,3,9,4
34,3,10,4
35,3,11,4
36,3,12,4
37,3,13,4
38,3,14,4
39,3,15,4
40,3,16,4
41,3,17,4
42,3,18,4
43,3,19,4
44,3,20,4
45,4,1,50
46,5,1,50
47,6,1,50
48,7,1,1
49,7,2,1
50,7,3,1
51,7,4,1
52,7,5,1
53,7,6,1
54,7,7,1
55,7,8,1
56,7,9,1
57,7,10,1
58,7,11,1
59,7,12,1
60,7,13,1
61,7,14,1
62,7,15,1
63,7,16,1
64,7,17,1
65,7,18,1
66,7,19,1
67,7,20,1
68,7,21,1
69,7,22,1
70,7,23,1
71,7,24,1
72,7,25,1
73,7,26,1
74,7,27,1
75,7,28,1
76,7,29,1
77,7,30,1
78,7,31,1
79,7,32,1
80,7,33,1
81,7,34,1
82,7,35,1
83,7,36,1
84,7,37,1
85,7,38,1
86,7,39,1
87,7,40,1
88,7,41,1
89,7,42,1
90,7,43,1
91,7,44,1
92,7,45,1
93,7,46,1
94,7,47,1
95,7,48,1
96,7,49,1
97,7,50,1
98,8,1,1
99,8,2,1
100,8,3,1
101,8,4,1
102,8,5,1
103,8,6,1
104,8,7,1
105,8,8,1
106,8,9,1
107,8,10,1
108,8,11,1
109,8,12,1
110,8,13,1
111,8,14,1
112,8,15,1
113,8,16,1
114,8,17,1
115,8,18,1
116,8,19,1
117,8,20,1
118,8,21,1
119,8,22,1
120,8,23,1
121,8,24,1
122,8,25,1
123,8,26,1
124,8,27,1
125,8,28,1
126,8,29,1
127,8,30,1
128,8,31,1
129,8,32,1
130,8,33,1
131,8,34,1
132,8,35,1
133,8,36,1
134,8,37,1
135,8,38,1
136,8,39,1
137,8,40,1
138,8,41,1
139,8,42,1
140,8,43,1
141,8,44,1
142,8,45,1
143,8,46,1
144,8,47,1
145,8,48,1
146,8,49,1
147,8,50,1
148,9,1,1
149,9,2,1
150,10,1,1
151,10,2,1
